vivienda_id,area_construida_m2,altura_muro_m,n_banos,forma_terreno_ratio,tarrajeo_exterior,perimetro_m,area_muros_m2,cemento_bolsas_teorico,cemento_bolsas_real,cemento_bolsas_pct_desviacion,arena_gruesa_m3_teorico,arena_gruesa_m3_real,arena_gruesa_m3_pct_desviacion,arena_fina_m3_teorico,arena_fina_m3_real,arena_fina_m3_pct_desviacion,piedra_grande_m3_teorico,piedra_grande_m3_real,piedra_grande_m3_pct_desviacion,piedra_chancada_m3_teorico,piedra_chancada_m3_real,piedra_chancada_m3_pct_desviacion,acero_corrugado_kg_teorico,acero_corrugado_kg_real,acero_corrugado_kg_pct_desviacion,ladrillo_und_teorico,ladrillo_und_real,ladrillo_und_pct_desviacion
37,43.76,2.6,1,1.5,0,27.01,70.22,98.66,190.24,0.9282383944861141,9.81,3.5,-0.6432212028542303,0.05,0.17,2.4,2.59,3.0,0.15830115830115837,3.97,3.9,-0.017632241813602085,421.41,1095.0,1.5984195913718229,3243,2955.0,-0.08880666049953746
38,40.91,2.7,1,1.5,0,26.11,70.5,93.24,111.95,0.20066495066495077,9.37,9.11,-0.02774813233724651,0.05,0.1,1.0,2.51,1.85,-0.2629482071713146,3.72,7.41,0.9919354838709676,393.96,415.2,0.053914102954614705,3231,3863.0,0.19560507582791706
39,35.0,2.6,1,1.0,0,23.66,61.53,81.31,253.79,2.1212642971344238,8.33,19.3,1.3169267707082835,0.05,0.16,2.1999999999999997,2.27,2.13,-0.06167400881057274,3.2,13.68,3.275,337.05,793.54,1.3543687880136477,2814,6045.0,1.14818763326226
40,68.4,2.6,2,1.5,0,33.76,87.79,147.9,201.31,0.36112237998647734,13.4,13.5,0.007462686567164152,0.3,0.43,0.43333333333333335,3.24,3.1,-0.04320987654320991,6.11,7.25,0.1865793780687397,658.69,923.4,0.40187341541544563,4232,4620.0,0.09168241965973535
41,84.5,2.6,2,2.0,0,39.0,101.4,178.74,324.1,0.8132482936108314,15.92,19.9,0.24999999999999992,0.3,0.49,0.6333333333333334,3.74,7.5,1.0053475935828875,7.51,14.8,0.9707057256990681,813.74,1220.0,0.4992503748125937,4925,5440.0,0.10456852791878173
42,75.0,2.6,2,2.0,0,36.74,95.53,161.51,290.12,0.7962974428827938,14.62,17.8,0.21751025991792078,0.3,0.47,0.5666666666666667,3.53,6.7,0.898016997167139,6.69,13.2,0.9730941704035873,722.25,1080.0,0.4953271028037383,4605,4850.0,0.053203040173724216
43,35.0,2.6,1,1.0,0,23.66,61.53,81.31,135.59,0.667568564752183,8.33,8.2,-0.015606242496998893,0.05,0.16,2.1999999999999997,2.27,3.1,0.3656387665198238,3.2,6.15,0.921875,337.05,515.0,0.5279632102062009,2814,2420.0,-0.14001421464108033
44,70.0,2.6,2,1.5,0,34.16,88.81,150.81,267.55,0.7740865990318945,13.62,16.45,0.2077826725403818,0.3,0.46,0.5333333333333334,3.28,6.16,0.878048780487805,6.25,12.04,0.9263999999999999,674.1,1011.5,0.5005192107995846,4288,4480.0,0.04477611940298507
45,65.0,2.6,2,1.5,0,32.91,85.58,141.68,250.69,0.7694099378881987,12.92,15.47,0.19736842105263164,0.3,0.44,0.46666666666666673,3.16,5.85,0.8512658227848099,5.81,11.38,0.9586919104991397,625.95,942.5,0.5057113187954309,4113,4173.0,0.014587892049598834
46,54.0,2.6,1,1.5,0,30.0,78.0,117.89,209.2,0.7745355840190007,11.35,12.91,0.1374449339207049,0.05,0.17,2.4,2.88,4.91,0.7048611111111113,4.86,9.45,0.9444444444444442,520.02,785.7,0.5109034267912774,3648,3456.0,-0.05263157894736842
47,82.83,2.6,2,2.0,0,38.61,100.39,175.72,318.02,0.80981106305486,15.7,19.55,0.24522292993630584,0.3,0.48,0.6,3.71,7.37,0.986522911051213,7.37,14.33,0.9443690637720489,797.65,1199.38,0.503641948222905,4870,5293.0,0.08685831622176592
48,45.0,2.6,1,1.5,0,27.39,71.2,101.01,175.11,0.7335907335907337,10.0,10.8,0.08000000000000007,0.05,0.17,2.4,2.63,4.14,0.5741444866920151,4.08,7.92,0.9411764705882353,433.35,657.0,0.5160955347871234,3294,2903.0,-0.11870066788099574
49,56.0,2.6,1,1.5,0,30.55,79.43,121.6,215.98,0.7761513157894737,11.64,13.27,0.1400343642611683,0.05,0.17,2.4,2.93,5.4,0.8430034129692833,5.03,9.74,0.9363817097415507,539.28,814.8,0.5109034267912772,3723,3629.0,-0.025248455546602204
50,80.0,2.6,2,2.0,0,37.95,98.66,170.59,308.54,0.8086640483029487,15.31,18.96,0.23840627041149576,0.3,0.48,0.6,3.64,7.2,0.978021978021978,7.13,13.92,0.9523141654978963,770.4,1164.0,0.5109034267912773,4775,5184.0,0.0856544502617801
51,72.0,2.6,2,2.0,0,36.0,93.6,156.03,277.68,0.7796577581234378,14.21,17.06,0.20056298381421517,0.3,0.45,0.5000000000000001,3.46,6.48,0.8728323699421967,6.43,12.53,0.9486780715396579,693.36,1047.6,0.5109034267912771,4501,4666.0,0.03665852032881582
52,60.0,2.6,1,1.5,0,31.62,82.22,129.0,231.4,0.7937984496124031,12.21,14.22,0.1646191646191646,0.05,0.18,2.6,3.04,5.4,0.7763157894736843,5.38,10.44,0.9405204460966542,577.8,873.0,0.5109034267912774,3871,3888.0,0.004391630069749419
53,90.0,2.6,2,2.0,0,40.25,104.65,188.64,347.1,0.8400127226463107,16.66,21.33,0.28031212484993984,0.3,0.51,0.7000000000000001,3.86,8.1,1.0984455958549224,7.99,15.66,0.9599499374217771,866.7,1309.5,0.5109034267912772,5104,5832.0,0.1426332288401254
54,64.0,2.6,2,1.5,0,32.66,84.92,139.85,246.83,0.7649624597783341,12.78,15.17,0.18701095461658848,0.3,0.44,0.46666666666666673,3.14,5.76,0.8343949044585985,5.73,11.14,0.944153577661431,616.32,931.2,0.5109034267912772,4078,4147.0,0.016920058852378617
55,65.0,2.6,2,1.5,0,32.91,85.58,141.68,250.69,0.7694099378881987,12.92,15.4,0.19195046439628485,0.3,0.44,0.46666666666666673,3.16,5.85,0.8512658227848099,5.81,11.31,0.9466437177280553,625.95,945.75,0.5109034267912772,4113,4212.0,0.024070021881838075
56,48.0,2.6,1,1.5,0,28.28,73.54,106.67,129.19,0.2111184025499203,10.46,12.46,0.19120458891013384,0.05,0.16,2.1999999999999997,2.72,3.68,0.3529411764705882,4.34,5.59,0.28801843317972353,462.24,519.6,0.12409138110072693,3415,2433.0,-0.28755490483162516
57,70.0,2.6,2,1.5,0,34.16,88.81,150.81,189.9,0.2592003182812811,13.62,19.27,0.4148311306901616,0.3,0.36,0.2,3.28,6.22,0.8963414634146342,6.25,7.44,0.19040000000000007,674.1,680.0,0.008752410621569466,4288,3898.0,-0.09095149253731344
58,42.0,2.6,1,1.5,0,26.46,68.79,95.32,161.91,0.698594208980277,9.54,9.95,0.04297693920335432,0.05,0.16,2.1999999999999997,2.54,3.78,0.48818897637795267,3.81,7.31,0.9186351706036744,404.46,611.1,0.5109034267912774,3170,2722.0,-0.14132492113564668
59,58.0,2.6,1,1.0,0,30.46,79.2,124.57,223.59,0.7948944368628081,11.78,13.75,0.16723259762309003,0.05,0.18,2.6,2.92,5.22,0.7876712328767123,5.2,10.09,0.9403846153846153,558.54,843.9,0.5109034267912773,3731,3758.0,0.007236665773251139
60,100.0,2.6,2,2.0,0,42.43,110.31,206.55,385.5,0.8663761801016702,17.99,23.7,0.31739855475264045,0.3,0.54,0.8000000000000002,4.07,9.0,1.2113022113022112,8.85,17.4,0.9661016949152541,963.0,1455.0,0.5109034267912772,5420,6480.0,0.19557195571955718
